date,value
2015-11-29,180321145
2015-11-30,188747634
2015-12-01,180147368
2015-12-02,176633113
2015-12-03,173675204
2015-12-04,169338252
2015-12-05,159374113
2015-12-06,176273258
2015-12-07,190494781
2015-12-08,185541861
2015-12-09,180679879
2015-12-10,174329941
2015-12-11,169784843
2015-12-12,161233749
2015-12-13,179324820
2015-12-14,186084787
2015-12-15,174958750
2015-12-16,170399342
2015-12-17,167277463
2015-12-18,157611954
2015-12-19,152020217
2015-12-20,164027599
2015-12-21,171922622
2015-12-22,163505816
2015-12-23,155781517
2015-12-24,146447377
2015-12-25,145773514
2015-12-26,160473276
2015-12-27,167965074
2015-12-28,176153168
2015-12-29,174632589
2015-12-30,172098874
2015-12-31,157194931
2016-01-01,167620466
2016-01-02,184547728
2016-01-03,189396504
2016-01-04,188737090
2016-01-05,183000428
2016-01-06,182172355
2016-01-07,180632482
2016-01-08,176540035
2016-01-09,173868195
2016-01-10,189658228
2016-01-11,212811877
2016-01-12,191747403
2016-01-13,182334703
2016-01-14,188094841
2016-01-15,177092068
2016-01-16,173697238
2016-01-17,189769974
2016-01-18,193853482
2016-01-19,191818040
2016-01-20,185124641
2016-01-21,183872329
2016-01-22,180618119
2016-01-23,175275017
2016-01-24,192507520
2016-01-25,199573586
2016-01-26,190381248
2016-01-27,187226528
2016-01-28,182281697
2016-01-29,175975594
2016-01-30,171123932
2016-01-31,193166047
2016-02-01,198916424
2016-02-02,191123505
2016-02-03,187765216
2016-02-04,184122165
2016-02-05,178630576
2016-02-06,169738635
2016-02-07,188706816
2016-02-08,201453574
2016-02-09,185449741
2016-02-10,184380168
2016-02-11,177001182
2016-02-12,172436523
2016-02-13,170206615
2016-02-14,184462157
2016-02-15,193204733
2016-02-16,198147691
2016-02-17,187717576
2016-02-18,181637689
2016-02-19,176403814
2016-02-20,170959962
2016-02-21,189189228
2016-02-22,198335396
2016-02-23,187455746
2016-02-24,185189426
2016-02-25,184162313
2016-02-26,173035019
2016-02-27,167198580
2016-02-28,186311233
2016-02-29,212135740
2016-03-01,186267216
2016-03-02,183048845
2016-03-03,183124120
2016-03-04,175555736
2016-03-05,172133230
2016-03-06,188509364
2016-03-07,193123290
2016-03-08,180614996
2016-03-09,180008474
2016-03-10,174500474
2016-03-11,167232430
2016-03-12,160174145
2016-03-13,174508628
2016-03-14,183529139
2016-03-15,173989125
2016-03-16,174862016
2016-03-17,170889828
2016-03-18,161468834
2016-03-19,156045089
2016-03-20,170743159
2016-03-21,176360636
2016-03-22,167889703
2016-03-23,165635007
2016-03-24,164014199
2016-03-25,164609440
2016-03-26,162315359
2016-03-27,172883642
2016-03-28,183826770
2016-03-29,178158686
2016-03-30,172279110
2016-03-31,166999364
2016-04-01,161025348
2016-04-02,159889095
2016-04-03,175207675
2016-04-04,185077499
2016-04-05,178756171
2016-04-06,178999463
2016-04-07,175142441
2016-04-08,168872388
2016-04-09,163613967
2016-04-10,178635423
2016-04-11,184479584
2016-04-12,177955243
2016-04-13,174236083
2016-04-14,171393714
2016-04-15,162997965
2016-04-16,154744539
2016-04-17,170035467
2016-04-18,179147021
2016-04-19,176465464
2016-04-20,173697943
2016-04-21,184249482
2016-04-22,176154923
2016-04-23,164976033
2016-04-24,179400655
2016-04-25,185189358
2016-04-26,178557626
2016-04-27,175252762
2016-04-28,173114871
2016-04-29,163423689
2016-04-30,157768839
2016-05-01,173383865
2016-05-02,184298229
2016-05-03,178871885
2016-05-04,174305579
2016-05-05,170210882
2016-05-06,165008820
2016-05-07,158557522
2016-05-08,171074646
2016-05-09,182185239
2016-05-10,178366114
2016-05-11,171783489
2016-05-12,170740234
2016-05-13,163701460
2016-05-14,160472279
2016-05-15,177191081
2016-05-16,183335196
2016-05-17,178080686
2016-05-18,174774357
2016-05-19,173254922
2016-05-20,165298502
2016-05-21,163362542
2016-05-22,172329495
2016-05-23,183232995
2016-05-24,176244443
2016-05-25,171032758
2016-05-26,168414909
2016-05-27,159808901
2016-05-28,156690851
2016-05-29,168227153
2016-05-30,178827607
2016-05-31,176951021
2016-06-01,170906079
2016-06-02,166628935
2016-06-03,161709777
2016-06-04,162725313
2016-06-05,177269173
2016-06-06,179709146
2016-06-07,174164897
2016-06-08,171659223
2016-06-09,167897432
2016-06-10,165141531
2016-06-11,164527570
2016-06-12,177862839
2016-06-13,185941867
2016-06-14,180973783
2016-06-15,173667652
2016-06-16,171030978
2016-06-17,162299928
2016-06-18,158219690
2016-06-19,172522811
2016-06-20,183673960
2016-06-21,173600460
2016-06-22,172526024
2016-06-23,169458121
2016-06-24,164349573
2016-06-25,161510110
2016-06-26,175187739
2016-06-27,178972784
2016-06-28,175637076
2016-06-29,170416205
2016-06-30,170269802
2016-07-01,163501649
2016-07-02,161001015
2016-07-03,171141476
2016-07-04,178022293
2016-07-05,173346120
2016-07-06,166088028
2016-07-07,164979063
2016-07-08,158231259
2016-07-09,160389143
2016-07-10,177802608
2016-07-11,177852654
2016-07-12,169150250
2016-07-13,166905412
2016-07-14,162987229
2016-07-15,157115649
2016-07-16,155408304
2016-07-17,168899782
2016-07-18,172353544
2016-07-19,171513038
2016-07-20,182575356
2016-07-21,196200140
2016-07-22,201521634
2016-07-23,197846071
2016-07-24,213504217
2016-07-25,219449631
2016-07-26,219032306
2016-07-27,213834236
2016-07-28,210543352
2016-07-29,202156876
2016-07-30,195887250
2016-07-31,211082766
2016-08-01,216835207
2016-08-02,210839872
2016-08-03,197551513
2016-08-04,188076225
2016-08-05,189097754
2016-08-06,191506329
2016-08-07,200611143
2016-08-08,213406606
2016-08-09,207373883
2016-08-10,211029577
2016-08-11,204887148
2016-08-12,201538193
2016-08-13,197299984
2016-08-14,208296169
2016-08-15,215956364
2016-08-16,202095066
2016-08-17,170120391
2016-08-18,166401963
2016-08-19,163643607
2016-08-20,162237972
2016-08-21,181437632
2016-08-22,182937442
2016-08-23,177166920
2016-08-24,173369476
2016-08-25,172433147
2016-08-26,165798024
2016-08-27,163380611
2016-08-28,180740626
2016-08-29,193232126
2016-08-30,186286624
2016-08-31,179908786
2016-09-01,171711273
2016-09-02,166758951
2016-09-03,165017921
2016-09-04,177500907
2016-09-05,186573906
2016-09-06,184997520
2016-09-07,178285182
2016-09-08,174900452
2016-09-09,170128243
2016-09-10,171768128
2016-09-11,185474866
2016-09-12,185371373
2016-09-13,185111302
2016-09-14,181468533
2016-09-15,181785508
2016-09-16,167381414
2016-09-17,165699213
2016-09-18,181709777
2016-09-19,192638872
2016-09-20,181980974
2016-09-21,181731787
2016-09-22,180960547
2016-09-23,169286558
2016-09-24,163778892
2016-09-25,180451536
2016-09-26,188298498
2016-09-27,180015004
2016-09-28,181634309
2016-09-29,177740623
2016-09-30,166476351
2016-10-01,165366758
2016-10-02,181289673
2016-10-03,190595417
2016-10-04,186462302
2016-10-05,189304049
2016-10-06,188842204
2016-10-07,171116903
2016-10-08,168515431
2016-10-09,184876236
2016-10-10,187906853
2016-10-11,182176172
2016-10-12,181822342
2016-10-13,182098653
2016-10-14,174145349
2016-10-15,171392137
2016-10-16,187423276
2016-10-17,196254178
2016-10-18,189871582
2016-10-19,185578751
2016-10-20,180519479
2016-10-21,174917132
2016-10-22,169856587
2016-10-23,185412673
2016-10-24,195648048
2016-10-25,187593236
2016-10-26,182734271
2016-10-27,179765655
2016-10-28,166854491
2016-10-29,161588181
2016-10-30,178749220
2016-10-31,189187634
2016-11-01,183118419
2016-11-02,186845423
2016-11-03,190540132
2016-11-04,180052070
2016-11-05,177155882
2016-11-06,193629083
2016-11-07,199672798
2016-11-08,193822240
2016-11-09,205812984
2016-11-10,193956479
2016-11-11,187658293
2016-11-12,184176049
2016-11-13,203811713
2016-11-14,210427056
2016-11-15,198626976
2016-11-16,195819293
2016-11-17,191006828
2016-11-18,181543456
2016-11-19,174026057
2016-11-20,189569360
2016-11-21,198403407
2016-11-22,189395595
2016-11-23,184424812
2016-11-24,175675318
2016-11-25,172324538
2016-11-26,183194730
2016-11-27,196776606
2016-11-28,197068958
2016-11-29,195972294
2016-11-30,189867828
2016-12-01,184248936
2016-12-02,176741865
2016-12-03,173550254
2016-12-04,192537158
2016-12-05,200034970
2016-12-06,197600096
2016-12-07,191542329
2016-12-08,187990745
2016-12-09,178409789
2016-12-10,172773406
2016-12-11,188327618
2016-12-12,195465663
2016-12-13,187900142
2016-12-14,188354103
2016-12-15,176745403
2016-12-16,165731974
2016-12-17,162538100
2016-12-18,183640882
2016-12-19,193337488
2016-12-20,179064055
2016-12-21,178019889
2016-12-22,171591331
2016-12-23,163917280
2016-12-24,166595493
2016-12-25,174081580
2016-12-26,194515686
2016-12-27,203472868
2016-12-28,201529245
2016-12-29,206213152
2016-12-30,188930111
2016-12-31,178521617
2017-01-01,192490850
2017-01-02,213889614
2017-01-03,207102377
2017-01-04,202049124
2017-01-05,198486798
2017-01-06,193875876
2017-01-07,198828106
2017-01-08,213190587
2017-01-09,217901953
2017-01-10,201277882
2017-01-11,199526679
2017-01-12,198743423
2017-01-13,195379324
2017-01-14,196255060
2017-01-15,214142104
2017-01-16,219562381
2017-01-17,211861255
2017-01-18,202739372
2017-01-19,201689498
2017-01-20,200113240
2017-01-21,195836714
2017-01-22,216304478
2017-01-23,218652291
2017-01-24,208634732
2017-01-25,205453473
2017-01-26,204745242
2017-01-27,193661698
2017-01-28,198686785
2017-01-29,216195153
2017-01-30,220251269
2017-01-31,207544718
2017-02-01,203632367
2017-02-02,197170838
2017-02-03,191605431
2017-02-04,188894924
2017-02-05,210464268
2017-02-06,221668610
2017-02-07,204919705
2017-02-08,199802579
2017-02-09,199441118
2017-02-10,188538191
2017-02-11,189136307
2017-02-12,209542289
2017-02-13,215925413
2017-02-14,195313280
2017-02-15,197754795
2017-02-16,193857438
2017-02-17,183997396
2017-02-18,185772299
2017-02-19,203141983
2017-02-20,211623460
2017-02-21,204679280
2017-02-22,199216362
2017-02-23,192202896
2017-02-24,184732945
2017-02-25,186341016
2017-02-26,211402597
2017-02-27,227801238
2017-02-28,204227474
2017-03-01,196726644
2017-03-02,191417869
2017-03-03,183886389
2017-03-04,182105763
2017-03-05,201962446
2017-03-06,206148648
2017-03-07,197046652
2017-03-08,194375073
2017-03-09,190059468
2017-03-10,180352202
2017-03-11,181979245
2017-03-12,200982508
2017-03-13,199369588
2017-03-14,196061891
2017-03-15,190991439
2017-03-16,185479953
2017-03-17,182897136
2017-03-18,182668356
2017-03-19,196524619
2017-03-20,196540241
2017-03-21,193713836
2017-03-22,187962925
2017-03-23,181665308
2017-03-24,172941724
2017-03-25,171710086
2017-03-26,187273708
2017-03-27,190332299
2017-03-28,188156847
2017-03-29,187257170
2017-03-30,179304436
2017-03-31,169999745
2017-04-01,164182219
2017-04-02,178456173
2017-04-03,194850494
2017-04-04,187341417
2017-04-05,182473000
2017-04-06,179522338
2017-04-07,170626254
2017-04-08,168304603
2017-04-09,181918353
2017-04-10,188697878
2017-04-11,177850799
2017-04-12,179932501
2017-04-13,176223350
2017-04-14,172432997
2017-04-15,169674620
2017-04-16,181915247
2017-04-17,196035028
2017-04-18,187878374
2017-04-19,188537888
2017-04-20,181418183
2017-04-21,174139581
2017-04-22,170701047
2017-04-23,187910131
2017-04-24,196013107
2017-04-25,186679154
2017-04-26,184301700
2017-04-27,181426939
2017-04-28,170830689
2017-04-29,168367328
2017-04-30,184822164
2017-05-01,198754918
2017-05-02,187499249
2017-05-03,184683050
2017-05-04,181669788
2017-05-05,174051555
2017-05-06,171169441
2017-05-07,184964158
2017-05-08,194717610
2017-05-09,187941883
2017-05-10,182053483
2017-05-11,177410050
2017-05-12,167263344
2017-05-13,167384147
2017-05-14,181548998
2017-05-15,190565511
2017-05-16,183002292
2017-05-17,183074661
2017-05-18,183487174
2017-05-19,172047775
2017-05-20,168324193
2017-05-21,182114271
2017-05-22,213291487
2017-05-23,191335684
2017-05-24,176415794
2017-05-25,170256433
2017-05-26,160382054
2017-05-27,158195344
2017-05-28,171948122
2017-05-29,187343088
2017-05-30,182942395
2017-05-31,178841595
2017-06-01,167827033
2017-06-02,162324672
2017-06-03,161598121
2017-06-04,176105608
2017-06-05,183266162
2017-06-06,178331481
2017-06-07,174038022
2017-06-08,170656452
2017-06-09,165970278
2017-06-10,161416975
2017-06-11,172868387
2017-06-12,182266802
2017-06-13,176958505
2017-06-14,169250632
2017-06-15,166307806
2017-06-16,160792321
2017-06-17,157790456
2017-06-18,167931646
2017-06-19,176606086
2017-06-20,171567338
2017-06-21,177618652
2017-06-22,164700279
2017-06-23,159213222
2017-06-24,156657833
2017-06-25,166219982
2017-06-26,168688198
2017-06-27,163491900
2017-06-28,164575289
2017-06-29,162198459
2017-06-30,154421691
2017-07-01,154758283
2017-07-02,164074213
2017-07-03,169159703
2017-07-04,168518727
2017-07-05,166673952
2017-07-06,166354339
2017-07-07,161137091
2017-07-08,159861070
2017-07-09,170991578
2017-07-10,175887355
2017-07-11,170398274
2017-07-12,170052390
2017-07-13,167355953
2017-07-14,160041733
2017-07-15,160073197
2017-07-16,173485024
2017-07-17,174475766
2017-07-18,167728029
2017-07-19,166045536
2017-07-20,169402444
2017-07-21,166982957
2017-07-22,163716628
2017-07-23,175890687
2017-07-24,176447075
2017-07-25,170538435
2017-07-26,167097220
2017-07-27,164151572
2017-07-28,158705435
2017-07-29,155895327
2017-07-30,168763733
2017-07-31,172499462
2017-08-01,166560540
2017-08-02,166637026
2017-08-03,162451959
2017-08-04,155926749
2017-08-05,152723227
2017-08-06,166061572
2017-08-07,170180521
2017-08-08,166557828
2017-08-09,166954475
2017-08-10,163890695
2017-08-11,157511800
2017-08-12,156382609
2017-08-13,165457363
2017-08-14,168736685
2017-08-15,167235340
2017-08-16,167330398
2017-08-17,164907787
2017-08-18,159568908
2017-08-19,156373666
2017-08-20,171822712
2017-08-21,172832562
2017-08-22,167708694
2017-08-23,165463862
2017-08-24,161191751
2017-08-25,156666474
2017-08-26,154911854
2017-08-27,167591446
2017-08-28,171613687
2017-08-29,167181858
2017-08-30,163564753
2017-08-31,160157310
2017-09-01,150846282
2017-09-02,152752772
2017-09-03,168866685
2017-09-04,175949522
2017-09-05,175880832
2017-09-06,170605433
2017-09-07,166757783
2017-09-08,160021116
2017-09-09,155453787
2017-09-10,171574153
2017-09-11,173848213
2017-09-12,168517858
2017-09-13,167944353
2017-09-14,167724166
2017-09-15,162209966
2017-09-16,159374319
2017-09-17,174731930
2017-09-18,184431982
2017-09-19,176041101
2017-09-20,172693393
2017-09-21,170618682
2017-09-22,162411827
2017-09-23,159314411
2017-09-24,171547172
2017-09-25,179844665
2017-09-26,174855893
2017-09-27,172798587
2017-09-28,173428080
2017-09-29,159518023
2017-09-30,151919576
2017-10-01,165987630
2017-10-02,178095646
2017-10-03,176244487
2017-10-04,173104731
2017-10-05,170497511
2017-10-06,161623623
2017-10-07,162494756
2017-10-08,177135678
2017-10-09,186587360
2017-10-10,182326420
2017-10-11,178127271
2017-10-12,173710217
2017-10-13,166531469
2017-10-14,163348613
2017-10-15,178109389
2017-10-16,184761901
2017-10-17,178851171
2017-10-18,172545071
2017-10-19,170002501
2017-10-20,164968082
2017-10-21,162699577
2017-10-22,178567193
2017-10-23,186704695
2017-10-24,182574351
2017-10-25,178538263
2017-10-26,173415544
2017-10-27,165421576
2017-10-28,161805134
2017-10-29,177060231
2017-10-30,186314869
2017-10-31,175646494
2017-11-01,175178870
2017-11-02,181056399
2017-11-03,169600143
2017-11-04,167178510
2017-11-05,185186595
2017-11-06,187162633
2017-11-07,183583535
2017-11-08,180767739
2017-11-09,175830433
2017-11-10,168229895
2017-11-11,167573788
2017-11-12,181290164
2017-11-13,189849098
2017-11-14,182046167
2017-11-15,178788415
2017-11-16,178302050
2017-11-17,168218825
2017-11-18,166056019
2017-11-19,179929433
2017-11-20,194065503
2017-11-21,183102905
2017-11-22,177907453
2017-11-23,166317563
2017-11-24,159338395
2017-11-25,166343088
2017-11-26,182447052
2017-11-27,192621956
2017-11-28,186361689
2017-11-29,182300808
2017-11-30,175900855
2017-12-01,167349642
2017-12-02,160485457
2017-12-03,176722748
2017-12-04,188104422
2017-12-05,183085227
2017-12-06,176470417
2017-12-07,176527568
2017-12-08,168693384
2017-12-09,165989414
2017-12-10,182106828
2017-12-11,189950922
2017-12-12,179117015
2017-12-13,175719671
2017-12-14,171485172
2017-12-15,162148462
2017-12-16,158944424
2017-12-17,172595091
2017-12-18,180759868
2017-12-19,171630919
2017-12-20,167424013
2017-12-21,162919590
2017-12-22,153001364
2017-12-23,155700285
2017-12-24,159907465
2017-12-25,165485471
2017-12-26,176123396
2017-12-27,179300897
2017-12-28,177506546
2017-12-29,171854179
2017-12-30,172262090
2017-12-31,172063528
2018-01-01,184779562
2018-01-02,192831848
2018-01-03,186279712
2018-01-04,184187164
2018-01-05,181055055
2018-01-06,186439682
2018-01-07,198252866
2018-01-08,203917926
2018-01-09,192505373
2018-01-10,188130986
2018-01-11,185661721
2018-01-12,180922463
2018-01-13,182713958
2018-01-14,197558678
2018-01-15,206978419
2018-01-16,197082373
2018-01-17,192678551
2018-01-18,198758040
2018-01-19,183542846
2018-01-20,180717468
2018-01-21,200826252
2018-01-22,210160235
2018-01-23,198049510
2018-01-24,193248007
2018-01-25,189712952
2018-01-26,184153734
2018-01-27,181163167
2018-01-28,199124326
2018-01-29,208246727
2018-01-30,194283845
2018-01-31,190117286
2018-02-01,184986154
2018-02-02,178602669
2018-02-03,179766859
2018-02-04,198581949
2018-02-05,208617368
2018-02-06,195341005
2018-02-07,189278752
2018-02-08,187468153
2018-02-09,178942273
2018-02-10,178670911
2018-02-11,194866524
2018-02-12,198158095
2018-02-13,187505318
2018-02-14,180998365
2018-02-15,179268771
2018-02-16,175815092
2018-02-17,176743241
2018-02-18,193168293
2018-02-19,200698857
2018-02-20,191076641
2018-02-21,188786197
2018-02-22,184269614
2018-02-23,178555360
2018-02-24,175701862
2018-02-25,201131889
2018-02-26,203479977
2018-02-27,192094569
2018-02-28,186953894
2018-03-01,183865818
2018-03-02,177148701
2018-03-03,179357283
2018-03-04,197382429
2018-03-05,212466913
2018-03-06,192530311
2018-03-07,189336814
2018-03-08,186324391
2018-03-09,176659832
2018-03-10,175367747
2018-03-11,194301278
2018-03-12,199548270
2018-03-13,191707606
2018-03-14,198117323
2018-03-15,185973338
2018-03-16,177408450
2018-03-17,175722173
2018-03-18,191366593
2018-03-19,194254246
2018-03-20,184277835
2018-03-21,181724553
2018-03-22,180294112
2018-03-23,173436084
2018-03-24,170716296
2018-03-25,184403059
2018-03-26,190860960
2018-03-27,184015909
2018-03-28,179423296
2018-03-29,173997454
2018-03-30,174288659
2018-03-31,172184494
2018-04-01,181191039
2018-04-02,193986265
2018-04-03,188868274
2018-04-04,185011831
2018-04-05,179582995
2018-04-06,176525033
2018-04-07,179183662
2018-04-08,194012851
2018-04-09,197599845
2018-04-10,187319336
2018-04-11,188666030
2018-04-12,182256102
2018-04-13,173982134
2018-04-14,171685630
2018-04-15,193667860
2018-04-16,198551187
2018-04-17,187192862
2018-04-18,183626147
2018-04-19,175878112
2018-04-20,172360214
2018-04-21,172125924
2018-04-22,184793114
2018-04-23,190701789
2018-04-24,189756087
2018-04-25,189308222
2018-04-26,180364458
2018-04-27,176199874
2018-04-28,167716039
2018-04-29,182133438
2018-04-30,190011901
2018-05-01,182341459
2018-05-02,175666071
2018-05-03,175376409
2018-05-04,169236336
2018-05-05,166693613
2018-05-06,178536382
2018-05-07,188624638
2018-05-08,183171899
2018-05-09,177055737
2018-05-10,177102286
2018-05-11,171232348
2018-05-12,169706183
2018-05-13,180463530
2018-05-14,187702917
2018-05-15,183077025
2018-05-16,182956590
2018-05-17,178295487
2018-05-18,171982349
2018-05-19,193708973
2018-05-20,199206238
2018-05-21,199048505
2018-05-22,188129174
2018-05-23,179858654
2018-05-24,173625210
2018-05-25,167804768
2018-05-26,165588419
2018-05-27,179624524
2018-05-28,187957178
2018-05-29,187383380
2018-05-30,178424793
2018-05-31,174951409
2018-06-01,166846964
2018-06-02,164660836
2018-06-03,178103768
2018-06-04,182364191
2018-06-05,179794286
2018-06-06,174808958
2018-06-07,174673789
2018-06-08,173768938
2018-06-09,172156975
2018-06-10,182642667
2018-06-11,185644814
2018-06-12,177087063
2018-06-13,174212661
2018-06-14,171662203
2018-06-15,164009908
2018-06-16,160918010
2018-06-17,178369290
2018-06-18,182810203
2018-06-19,180583478
2018-06-20,173720038
2018-06-21,171167613
2018-06-22,167082692
2018-06-23,168904542
2018-06-24,177133014
2018-06-25,179756106
2018-06-26,172172455
2018-06-27,172844931
2018-06-28,170748193
2018-06-29,163179055
2018-06-30,167030245
2018-07-01,179283530
2018-07-02,181708341
2018-07-03,176440702
2018-07-04,175655565
2018-07-05,173235026
2018-07-06,171643068
2018-07-07,175245267
2018-07-08,183760565
2018-07-09,185086026
2018-07-10,186453374
2018-07-11,181188325
2018-07-12,175482285
2018-07-13,170499540
2018-07-14,171876019
2018-07-15,195134420
2018-07-16,188105672
2018-07-17,179063355
2018-07-18,177655286
2018-07-19,173334401
2018-07-20,168946925
2018-07-21,168986297
2018-07-22,182879457
2018-07-23,183718868
2018-07-24,176746601
2018-07-25,174909609
2018-07-26,173199958
2018-07-27,169343682
2018-07-28,169510551
2018-07-29,185589620
2018-07-30,189945098
2018-07-31,180445882
2018-08-01,179333367
2018-08-02,174409297
2018-08-03,170311359
2018-08-04,171455681
2018-08-05,182250308
2018-08-06,183830198
2018-08-07,179651005
2018-08-08,175268054
2018-08-09,171114402
2018-08-10,163686842
2018-08-11,163696503
2018-08-12,177735252
2018-08-13,180087347
2018-08-14,172032829
2018-08-15,171855988
2018-08-16,174208929
2018-08-17,167974164
2018-08-18,166371908
2018-08-19,180451371
2018-08-20,183206619
2018-08-21,173071926
2018-08-22,170634563
2018-08-23,166593677
2018-08-24,164438950
2018-08-25,162930358
2018-08-26,181852341
2018-08-27,184378046
2018-08-28,175596411
2018-08-29,177093470
2018-08-30,172920179
2018-08-31,167928001
2018-09-01,167599235
2018-09-02,176325311
2018-09-03,185343971
2018-09-04,182599830
2018-09-05,174953332
2018-09-06,178261085
2018-09-07,175892218
2018-09-08,175450101
2018-09-09,186371784
2018-09-10,186649769
2018-09-11,181221330
2018-09-12,174829530
2018-09-13,173097170
2018-09-14,168757038
2018-09-15,169514910
2018-09-16,184086006
2018-09-17,187124094
2018-09-18,184716176
2018-09-19,175271680
2018-09-20,174911638
2018-09-21,169921622
2018-09-22,169043855
2018-09-23,181746609
2018-09-24,185613723
2018-09-25,181972826
2018-09-26,177672732
2018-09-27,173907113
2018-09-28,169782911
2018-09-29,167572666
2018-09-30,180830184
2018-10-01,182855904
2018-10-02,182554858
2018-10-03,178453330
2018-10-04,176993198
2018-10-05,175000530
2018-10-06,176249573
2018-10-07,189055014
2018-10-08,191794315
2018-10-09,185459496
2018-10-10,178468359
2018-10-11,177072833
2018-10-12,174528312
2018-10-13,171131485
2018-10-14,184353808
2018-10-15,188950629
2018-10-16,183918775
2018-10-17,179651213
2018-10-18,174576961
2018-10-19,169150366
2018-10-20,169127023
2018-10-21,182576949
2018-10-22,187951475
2018-10-23,183031034
2018-10-24,179837840
2018-10-25,174845736
2018-10-26,166601999
2018-10-27,165759984
2018-10-28,180277759
2018-10-29,188714013
2018-10-30,179094492
2018-10-31,174719949
2018-11-01,172550935
2018-11-02,169798853
2018-11-03,167447670
2018-11-04,182030471
2018-11-05,184577891
2018-11-06,178874525
2018-11-07,178513599
2018-11-08,174452606
2018-11-09,170648487
2018-11-10,171608837
2018-11-11,188909078
2018-11-12,196013651
2018-11-13,188486249
2018-11-14,180006992
2018-11-15,179650178
2018-11-16,173484309
2018-11-17,170480562
2018-11-18,185804396
2018-11-19,187724711
2018-11-20,180051508
2018-11-21,174795452
2018-11-22,172986690
2018-11-23,169077534
2018-11-24,174854621
2018-11-25,185612763
2018-11-26,188975655
2018-11-27,183686734
2018-11-28,182069317
2018-11-29,179139584
2018-11-30,168740892
2018-12-01,174642369
2018-12-02,187641748
2018-12-03,196012575
2018-12-04,186005173
2018-12-05,189007387
2018-12-06,183318475
2018-12-07,174548715
2018-12-08,175001907
2018-12-09,189993722
2018-12-10,189920510
2018-12-11,183599260
2018-12-12,179920290
2018-12-13,176676491
2018-12-14,171461277
2018-12-15,165385536
2018-12-16,177579120
2018-12-17,185235888
2018-12-18,176360591
2018-12-19,173120913
2018-12-20,166300090
2018-12-21,157625747
2018-12-22,160885498
2018-12-23,169674651
